Date,Open,high,low,count
2020.01.31 11:15,1578.22,1579.09,1577.8,1578.74
2020.01.31 11:30,1578.76,1579.79,1578.35,1579.36
2020.01.31 11:45,1579.39,1579.97,1579.05,1579.29
2020.01.31 12:00,1579.3,1580.12,1579.17,1579.84
2020.01.31 12:15,1579.85,1580.9,1579.31,1580.68
2020.01.31 12:30,1580.72,1582.06,1580.56,1580.76
2020.01.31 12:45,1580.78,1580.92,1579.19,1579.27
2020.01.31 13:00,1579.3,1579.68,1577.9,1578.56
2020.01.31 13:15,1578.58,1580.22,1578.5,1580.16
2020.01.31 13:30,1580.16,1580.19,1579.36,1579.73
2020.01.31 13:45,1579.74,1580.75,1579.6,1580.6
2020.01.31 14:00,1580.57,1580.61,1578.83,1578.91
2020.01.31 14:15,1578.92,1579.41,1578.45,1579.25
2020.01.31 14:30,1579.26,1579.74,1578.75,1578.87
2020.01.31 14:45,1578.87,1579.53,1578.59,1578.84
2020.01.31 15:00,1578.83,1581.42,1578.77,1581.07
2020.01.31 15:15,1581.05,1582.16,1578.82,1579.35
2020.01.31 15:30,1579.21,1581.17,1578.32,1579.68
2020.01.31 15:45,1579.68,1580.64,1579.21,1579.4
2020.01.31 16:00,1579.4,1580.71,1578.42,1579.2
2020.01.31 16:15,1579.16,1581.74,1579.12,1581.27
2020.01.31 16:30,1581.3,1583.39,1580.62,1583.26
2020.01.31 16:45,1583.42,1584.59,1582.3,1582.83
2020.01.31 17:00,1582.8,1584.53,1581.67,1582.72
2020.01.31 17:15,1582.79,1584.75,1581.75,1584.72
2020.01.31 17:30,1584.72,1585.02,1583.09,1584.89
2020.01.31 17:45,1584.89,1589.04,1584.31,1588.19
2020.01.31 18:00,1588.03,1588.61,1585.37,1586.72
2020.01.31 18:15,1586.76,1588.47,1585.75,1588.42
2020.01.31 18:30,1588.36,1588.4,1585.05,1585.45
2020.01.31 18:45,1585.42,1585.64,1582.23,1582.67
2020.01.31 19:00,1582.8,1583.6,1580.95,1583.06
2020.01.31 19:15,1583.07,1584.29,1582.27,1582.61
2020.01.31 19:30,1582.65,1586.21,1581.54,1581.7
2020.01.31 19:45,1581.83,1584.85,1581.78,1583.53
2020.01.31 20:00,1583.55,1584.71,1582.38,1584.62
2020.01.31 20:15,1584.59,1585.02,1582.91,1583.2
2020.01.31 20:30,1583.18,1587.09,1583.16,1586.96
2020.01.31 20:45,1587.03,1587.47,1585.26,1585.65
2020.01.31 21:00,1585.65,1585.65,1584.08,1584.93
2020.01.31 21:15,1584.91,1586.7,1584.65,1586.54
2020.01.31 21:30,1586.53,1586.67,1584.6,1586.37
2020.01.31 21:45,1586.37,1587.24,1586,1586.8
2020.01.31 22:00,1586.8,1588.84,1586.46,1588.11
2020.01.31 22:15,1588.11,1589.29,1587.1,1588.54
2020.01.31 22:30,1588.57,1589.24,1585.06,1585.62
2020.01.31 22:45,1585.59,1587.44,1585.13,1586.77
2020.01.31 23:00,1586.76,1586.82,1585.73,1586.71
2020.01.31 23:15,1586.7,1588.6,1586.7,1588.57
2020.01.31 23:30,1588.62,1590.03,1588.59,1589.79
2020.01.31 23:45,1589.79,1590.37,1587.87,1588.75
2020.02.03 01:00,1589.74,1591.85,1587.56,1589.25
2020.02.03 01:15,1589.29,1590.04,1588.22,1589.26
2020.02.03 01:30,1589.26,1590.21,1588.35,1589.29
2020.02.03 01:45,1589.29,1591.04,1588.87,1589.37
2020.02.03 02:00,1589.43,1590,1588.38,1588.7
2020.02.03 02:15,1588.7,1589.79,1588.46,1588.96
2020.02.03 02:30,1589.01,1589.01,1584.52,1585.14
2020.02.03 02:45,1585.21,1586.64,1584.05,1586.21
2020.02.03 03:00,1586.25,1586.41,1582.15,1584.96
2020.02.03 03:15,1584.95,1587.94,1583.96,1587.34
2020.02.03 03:30,1587.38,1587.8,1582.95,1583.44
2020.02.03 03:45,1583.45,1584.44,1582.27,1582.35
2020.02.03 04:00,1582.35,1583.5,1581.88,1582.88
2020.02.03 04:15,1582.86,1583.23,1582.2,1582.81
2020.02.03 04:30,1582.81,1583.95,1581.57,1583.01
2020.02.03 04:45,1583.07,1583.59,1582.5,1582.79
2020.02.03 05:00,1582.83,1583.48,1581.99,1582.31
2020.02.03 05:15,1582.31,1582.54,1579.79,1580.59
2020.02.03 05:30,1580.62,1581.34,1579.86,1581.01
2020.02.03 05:45,1581.01,1581.07,1579.57,1580.31
2020.02.03 06:00,1580.21,1580.99,1580.1,1580.9
2020.02.03 06:15,1580.9,1580.9,1579.56,1580.61
2020.02.03 06:30,1580.61,1581.37,1580.04,1580.95
2020.02.03 06:45,1580.93,1581.17,1580.29,1580.86
